127.0.0.1 - - [21/Apr/2020:12:42:12 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:42:14 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:42:14 +0900] "GET /html5/imgs/menu03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:42:14 +0900] "GET /html5/imgs/menu01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:42:14 +0900] "GET /html5/imgs/menu04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:42:14 +0900] "GET /html5/imgs/menu05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:42:14 +0900] "GET /html5/imgs/menu02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:42:14 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:45:32 +0900] "GET /html5/day0307.html HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:45:55 +0900] "GET /html5/day0307.html HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:50:25 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:50:25 +0900] "GET /html5/imgs/header01.jpg HTTP/1.1" 200 171127
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:51:21 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:53:04 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:53:05 +0900] "GET /html5/imgs/side01.jpg HTTP/1.1" 200 53743
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:55:47 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:55:48 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:56:17 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:56:19 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:56:23 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:57:07 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:57:08 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:57:49 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:58:01 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:58:09 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:12:58:10 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Apr/2020:13:00:23 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [21/Apr/2020:13:00:25 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2020:13:01:26 +0900] "GET /html5/day0307.html HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [21/Apr/2020:13:01:27 +0900] "GET /html5/day0307.html HTTP/1.1" 304 -
